,Unnamed: 0,post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
37,37,47729994,Polymarket gamblers betting millions on war,worldnews,159,129,sandebert,2026-04-14 14:00:15.107898,0.80625,False
38,38,47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,worldnews,122,72,fanf2,2026-04-14 14:00:19.361559,0.5853658536585366,False
39,39,47693960,Flashback to a time when government reports were works of art,worldnews,30,12,NaOH,2026-04-14 14:00:20.978055,0.3870967741935484,False
40,40,47722566,DOJ wants to scrap Watergate-era rule that makes presidential records public,worldnews,261,69,tlhunter,2026-04-14 14:00:46.706073,0.2633587786259542,True
41,41,47755118,Palantir Stock Continues to Fall. Not Even the President Can Erase the Losses,worldnews,16,2,1vuio0pswjnm7,2026-04-14 14:00:51.506818,0.11764705882352941,False
42,42,47752301,Booking.com warns customers of hack that exposed their data,worldnews,12,3,Brajeshwar,2026-04-14 14:00:59.090766,0.23076923076923078,False
43,43,47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,76,39,breve,2026-04-14 14:01:02.324325,0.5064935064935064,False
44,44,47761825,Roblox devs now need a subscription to share their games freely,sports,39,32,hallole,2026-04-14 14:01:09.096153,0.8,False
45,45,47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,412,230,m-hodges,2026-04-14 14:01:16.307887,0.5569007263922519,True
46,46,47741460,How long-distance couples use digital games to facilitate intimacy (2025),sports,128,38,radeeyate,2026-04-14 14:02:14.087409,0.29457364341085274,False
47,47,47698455,Starfling: A one-tap endless orbital slingshot game in a single HTML file,sports,624,152,iceberger2001,2026-04-14 14:02:58.093347,0.2432,True
48,48,47749295,Show HN: Equirect – a Rust VR video player,sports,11,1,greggman65,2026-04-14 14:03:02.880077,0.08333333333333333,False
49,49,47698111,Bevy game development tutorials and in-depth resources,sports,138,68,GenericCanadian,2026-04-14 14:03:20.858654,0.4892086330935252,False
50,50,47747248,"Haunt, the 70s text adventure game, is now playable on a website",sports,82,26,jscalo,2026-04-14 14:03:27.233940,0.3132530120481928,False
51,51,47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,sports,237,56,joko42,2026-04-14 14:03:28.042966,0.23529411764705882,True
52,52,47731707,"Rockstar Games Hacked, Hackers Threaten a Massive Data Leak If Not Paid Ransom",sports,109,63,c420,2026-04-14 14:05:15.934033,0.5727272727272728,False
53,53,47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,120,36,pruz,2026-04-14 14:05:48.415398,0.2975206611570248,False
54,54,47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,sports,262,278,speckx,2026-04-14 14:05:55.596007,1.0570342205323193,True
55,55,47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,28,6,russellharper,2026-04-14 14:06:03.534387,0.20689655172413793,False
56,56,47747625,Code Review Is the New Bottleneck for Engineering Teams,sports,14,1,gpi,2026-04-14 14:06:22.030484,0.06666666666666667,False
57,57,47704430,Can It Resolve Doom? Game Engine in 2k DNS Records,sports,10,2,choult,2026-04-14 14:06:29.539207,0.18181818181818182,False
58,58,47729925,Show HN: I rebuilt a 2000s browser strategy game on Cloudflare's edge,sports,7,1,parzivalt,2026-04-14 14:07:09.939459,0.125,False
59,59,47730916,QB64 Tutorial A beginner's introduction to game programming,sports,7,0,AlexeyBrin,2026-04-14 14:07:44.337539,0.0,False
60,60,47758831,FAA Says Military Can Use Anti-Drone Lasers in U.S. Airspace,science,22,5,bookofjoe,2026-04-14 14:09:20.405326,0.21739130434782608,False
61,61,47738343,The Physics of GPS,science,160,35,maouida,2026-04-14 14:09:25.184250,0.21739130434782608,False
62,62,47708818,Native Instant Space Switching on macOS,science,642,326,PaulHoule,2026-04-14 14:10:50.241739,0.5069984447900466,True
63,63,47739305,Tell HN: OpenAI silently removed Study Mode from ChatGPT,science,177,77,smokel,2026-04-14 14:11:00.673773,0.43258426966292135,False
64,64,47728323,Relics of the Heroic Age of Manned Space Flight,science,20,1,zdgeier,2026-04-14 14:11:12.620324,0.047619047619047616,False
65,65,47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,29,12,thunderbong,2026-04-14 14:11:26.971751,0.4,False
66,66,47706141,Research-Driven Agents: When an agent reads before it codes,science,212,54,hopechong,2026-04-14 14:12:23.103899,0.2535211267605634,True
67,67,47741449,SpaceX holds $603M in Bitcoin despite $5B loss stemming from xAI,science,27,9,lexandstuff,2026-04-14 14:12:23.889004,0.32142857142857145,False
68,68,47704443,Study found that young adults have grown less hopeful and more angry about AI,science,141,185,elsewhen,2026-04-14 14:13:35.805029,1.3028169014084507,False
69,69,47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,6,1,nvk,2026-04-14 14:14:09.377784,0.14285714285714285,False
70,70,47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,147,38,cvrajeesh,2026-04-14 14:15:08.463181,0.25675675675675674,False
71,71,47757552,Show HN: Continual Learning with .md,entertainment,24,21,wenhan_zhou,2026-04-14 14:15:35.626947,0.84,False
72,72,47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,506,287,a-ve,2026-04-14 14:15:44.412949,0.5660749506903353,True
73,73,47754559,Show HN: Mcptube – Karpathy's LLM Wiki idea applied to YouTube videos,entertainment,9,0,0xchamin,2026-04-14 14:15:50.845663,0.0,False
74,74,47758453,Your Favorite Movies Were CIA Propaganda [video],entertainment,29,1,joe_mamba,2026-04-14 14:15:51.632454,0.03333333333333333,False
75,75,47724352,Filing the corners off my MacBooks,entertainment,1395,668,normanvalentine,2026-04-14 14:15:54.026347,0.4785100286532951,True
76,76,47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,53,0,mooreds,2026-04-14 14:16:01.989199,0.0,False
77,77,47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,238,95,Rochus,2026-04-14 14:16:10.194322,0.39748953974895396,True
78,78,47758287,Dear Master (an open letter from an early Facebook employee),entertainment,13,1,plonkus,2026-04-14 14:17:13.441934,0.07142857142857142,False
79,79,47743700,European AI. A playbook to own it,entertainment,199,131,hjouneau,2026-04-14 14:17:22.414753,0.655,False
80,80,47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,75,14,anigbrowl,2026-04-14 14:17:24.811594,0.18421052631578946,False
81,81,47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,155,37,maouida,2026-04-14 14:17:31.213188,0.23717948717948717,False
82,82,47744683,Show HN: Rekal – Long-term memory for LLMs in a single SQLite file,entertainment,7,9,jeeybee,2026-04-14 14:17:43.001092,1.125,False
83,83,47745300,Show HN: A social feed with no strangers,entertainment,9,5,rpatni,2026-04-14 14:17:51.819768,0.5,False
